iter	Passed	Remaining
0	285	228434
1	447	178476
2	580	154296
3	721	143512
4	873	138953
5	1013	134107
6	1164	131960
7	1317	130470
8	1455	127953
9	1600	126417
10	1737	124596
11	1871	122891
12	2002	121214
13	2137	119991
14	2272	118904
15	2409	118068
16	2543	117142
17	2683	116585
18	2816	115786
19	2947	114964
20	3086	114511
21	3223	114001
22	3358	113453
23	3490	112869
24	3627	112439
25	3760	111955
26	3894	111505
27	4028	111067
28	4159	110597
29	4296	110275
30	4434	109997
31	4564	109542
32	4695	109127
33	4834	108920
34	4969	108610
35	5100	108251
36	5234	107951
37	5372	107727
38	5506	107444
39	5632	107022
40	5774	106890
41	5909	106648
42	6044	106417
43	6180	106199
44	6320	106046
45	6451	105743
46	6587	105535
47	6718	105253
48	6853	105038
49	6986	104802
50	7120	104572
51	7259	104419
52	7396	104244
53	7533	104077
54	7667	103865
55	7802	103658
56	7944	103558
57	8078	103345
58	8213	103156
59	8353	103031
60	8487	102823
61	8617	102575
62	8753	102396
63	8885	102184
64	9023	102037
65	9157	101837
66	9293	101674
67	9429	101504
68	9563	101321
69	9698	101139
70	9830	100934
71	9964	100751
72	10104	100633
73	10239	100457
74	10377	100317
75	10513	100152
76	10649	99990
77	10785	99839
78	10919	99656
79	11050	99456
80	11189	99322
81	11319	99117
82	11455	98955
83	11590	98792
84	11724	98627
85	11859	98462
86	11995	98305
87	12130	98149
88	12273	98046
89	12408	97886
90	12541	97711
91	12677	97561
92	12814	97415
93	12943	97217
94	13076	97041
95	13214	96905
96	13351	96766
97	13486	96605
98	13624	96471
99	13763	96343
100	13895	96164
101	14065	96254
102	14200	96096
103	14336	95942
104	14487	95896
105	14629	95782
106	14778	95714
107	14920	95601
108	15068	95525
109	15213	95427
110	15360	95348
111	15495	95184
112	15630	95026
113	15761	94845
114	15896	94687
115	16030	94522
116	16163	94355
117	16305	94237
118	16441	94086
119	16573	93914
120	16710	93771
121	16845	93615
122	16977	93445
123	17111	93287
124	17243	93115
125	17376	92951
126	17512	92801
127	17639	92609
128	17774	92456
129	17911	92312
130	18046	92163
131	18182	92012
132	18319	91871
133	18454	91722
134	18593	91589
135	18723	91416
136	18861	91279
137	18992	91109
138	19127	90959
139	19263	90812
140	19394	90642
141	19527	90486
142	19657	90316
143	19797	90186
144	19930	90032
145	20071	89910
146	20209	89775
147	20343	89620
148	20475	89458
149	20613	89324
150	20744	89161
151	20880	89015
152	21015	88869
153	21147	88710
154	21281	88558
155	21416	88411
156	21550	88262
157	21685	88114
158	21818	87958
159	21952	87811
160	22086	87659
161	22225	87530
162	22357	87372
163	22492	87226
164	22626	87078
165	22760	86928
166	22895	86782
167	23028	86629
168	23158	86469
169	23299	86346
170	23434	86200
171	23564	86039
172	23701	85899
173	23837	85761
174	23978	85638
175	24113	85493
176	24247	85345
177	24378	85186
178	24514	85047
179	24648	84898
180	24781	84748
181	24913	84595
182	25046	84447
183	25180	84299
184	25317	84163
185	25458	84039
186	25592	83894
187	25723	83739
188	25858	83596
189	25994	83454
190	26125	83300
191	26258	83152
192	26394	83011
193	26531	82878
194	26664	82728
195	26801	82592
196	26931	82435
197	27064	82286
198	27199	82143
199	27336	82010
200	27474	81877
201	27646	81843
202	27781	81701
203	27912	81547
204	28067	81464
205	28211	81347
206	28356	81234
207	28503	81125
208	28668	81067
209	28817	80964
210	28954	80824
211	29097	80703
212	29231	80558
213	29365	80412
214	29496	80258
215	29631	80115
216	29763	79962
217	29896	79815
218	30026	79659
219	30160	79514
220	30301	79388
221	30434	79238
222	30567	79092
223	30708	78964
224	30837	78805
225	30968	78653
226	31102	78508
227	31240	78374
228	31373	78227
229	31505	78080
230	31645	77949
231	31777	77800
232	31912	77659
233	32046	77513
234	32179	77368
235	32314	77226
236	32453	77093
237	32586	76948
238	32719	76801
239	32855	76661
240	32985	76510
241	33115	76357
242	33251	76217
243	33389	76083
244	33515	75923
245	33647	75774
246	33785	75641
247	33914	75487
248	34047	75341
249	34188	75215
250	34323	75073
251	34457	74931
252	34589	74784
253	34722	74640
254	34858	74501
255	34987	74348
256	35121	74207
257	35255	74064
258	35388	73920
259	35524	73781
260	35661	73646
261	35794	73501
262	35931	73365
263	36062	73218
264	36197	73077
265	36330	72933
266	36467	72798
267	36603	72659
268	36743	72530
269	36875	72384
270	37008	72241
271	37142	72099
272	37280	71967
273	37409	71816
274	37544	71676
275	37679	71537
276	37813	71396
277	37944	71248
278	38078	71106
279	38211	70964
280	38347	70826
281	38475	70674
282	38614	70542
283	38746	70399
284	38877	70253
285	39010	70110
286	39149	69978
287	39286	69843
288	39424	69708
289	39557	69567
290	39691	69426
291	39824	69284
292	39957	69140
293	40089	68997
294	40229	68867
295	40364	68728
296	40499	68589
297	40630	68443
298	40766	68308
299	40900	68167
300	41032	68023
301	41209	67954
302	41348	67823
303	41480	67678
304	41635	67572
305	41781	67451
306	41929	67333
307	42081	67221
308	42230	67103
309	42380	66989
310	42520	66857
311	42654	66716
312	42788	66575
313	42923	66435
314	43052	66287
315	43189	66150
316	43322	66008
317	43466	65882
318	43598	65740
319	43728	65593
320	43868	65460
321	44003	65322
322	44132	65174
323	44273	65044
324	44408	64904
325	44540	64761
326	44670	64614
327	44801	64470
328	44938	64334
329	45071	64192
330	45207	64054
331	45409	64010
332	45611	63965
333	45743	63821
334	45875	63677
335	46011	63540
336	46142	63394
337	46280	63259
338	46414	63118
339	46553	62983
340	46685	62840
341	46816	62696
342	46951	62556
343	47090	62421
344	47227	62286
345	47361	62145
346	47496	62004
347	47632	61867
348	47767	61727
349	47896	61581
350	48026	61435
351	48160	61295
352	48297	61159
353	48432	61018
354	48566	60879
355	48706	60746
356	48833	60596
357	48964	60453
358	49099	60313
359	49238	60180
360	49370	60037
361	49505	59899
362	49640	59759
363	49775	59620
364	49906	59477
365	50041	59338
366	50171	59194
367	50303	59051
368	50440	58915
369	50576	58777
370	50709	58637
371	50847	58501
372	50980	58361
373	51116	58223
374	51251	58084
375	51391	57952
376	51523	57810
377	51653	57666
378	51786	57525
379	51925	57391
380	52060	57253
381	52199	57118
382	52335	56981
383	52463	56835
384	52598	56697
385	52736	56562
386	52870	56422
387	53003	56282
388	53136	56141
389	53274	56006
390	53410	55869
391	53545	55731
392	53676	55589
393	53812	55451
394	53950	55316
395	54084	55177
396	54224	55044
397	54358	54904
398	54491	54764
399	54624	54624
400	54754	54481
401	54928	54382
402	55065	54245
403	55200	54107
404	55355	53988
405	55496	53856
406	55648	53734
407	55793	53605
408	55936	53474
409	56092	53356
410	56229	53219
411	56362	53078
412	56493	52937
413	56632	52801
414	56765	52661
415	56893	52516
416	57029	52379
417	57169	52246
418	57302	52105
419	57433	51963
420	57564	51821
421	57700	51684
422	57831	51542
423	57971	51408
424	58109	51272
425	58248	51138
426	58383	50999
427	58519	50862
428	58651	50721
429	58790	50587
430	58926	50449
431	59060	50310
432	59199	50175
433	59333	50037
434	59466	49897
435	59596	49755
436	59736	49620
437	59870	49482
438	60000	49340
439	60136	49202
440	60276	49068
441	60409	48928
442	60541	48788
443	60671	48646
444	60812	48513
445	60944	48373
446	61081	48236
447	61214	48097
448	61345	47956
449	61478	47816
450	61610	47676
451	61744	47537
452	61879	47399
453	62012	47260
454	62145	47121
455	62283	46985
456	62416	46846
457	62548	46706
458	62680	46566
459	62813	46427
460	62946	46288
461	63082	46151
462	63215	46012
463	63347	45872
464	63481	45733
465	63617	45597
466	63744	45453
467	63875	45313
468	64012	45177
469	64145	45038
470	64277	44898
471	64407	44757
472	64540	44618
473	64671	44478
474	64803	44339
475	64938	44201
476	65074	44065
477	65212	43929
478	65349	43793
479	65480	43653
480	65620	43519
481	65751	43379
482	65886	43242
483	66031	43111
484	66174	42979
485	66314	42845
486	66446	42706
487	66583	42569
488	66722	42434
489	66859	42299
490	66995	42161
491	67130	42024
492	67268	41889
493	67402	41751
494	67539	41615
495	67674	41478
496	67813	41342
497	67946	41204
498	68082	41067
499	68220	40932
500	68350	40792
501	68524	40677
502	68659	40540
503	68798	40405
504	68947	40276
505	69088	40142
506	69238	40013
507	69381	39880
508	69523	39746
509	69666	39614
510	69802	39477
511	69942	39342
512	70076	39204
513	70207	39064
514	70338	38925
515	70479	38791
516	70615	38654
517	70747	38514
518	70882	38377
519	71016	38239
520	71152	38102
521	71285	37964
522	71422	37827
523	71555	37689
524	71693	37553
525	71830	37417
526	71967	37281
527	72100	37142
528	72236	37005
529	72368	36867
530	72505	36730
531	72634	36590
532	72771	36454
533	72903	36315
534	73037	36177
535	73174	36040
536	73307	35903
537	73446	35767
538	73583	35631
539	73719	35494
540	73850	35355
541	73984	35217
542	74124	35082
543	74257	34944
544	74396	34809
545	74527	34670
546	74664	34534
547	74795	34395
548	74930	34257
549	75066	34121
550	75204	33985
551	75344	33850
552	75482	33714
553	75621	33579
554	75759	33443
555	75901	33309
556	76040	33173
557	76179	33038
558	76315	32901
559	76452	32765
560	76594	32631
561	76740	32498
562	76876	32361
563	77018	32227
564	77162	32094
565	77299	31957
566	77435	31820
567	77578	31687
568	77718	31551
569	77857	31416
570	77999	31281
571	78133	31144
572	78270	31007
573	78415	30874
574	78553	30738
575	78692	30602
576	78834	30468
577	78974	30332
578	79114	30197
579	79256	30062
580	79398	29928
581	79541	29794
582	79680	29658
583	79818	29522
584	79958	29386
585	80098	29251
586	80238	29115
587	80377	28979
588	80519	28844
589	80656	28708
590	80791	28570
591	80928	28434
592	81066	28298
593	81213	28164
594	81349	28028
595	81493	27893
596	81633	27758
597	81773	27622
598	81937	27494
599	82076	27358
600	82219	27224
601	82392	27099
602	82528	26961
603	82669	26826
604	82818	26693
605	82958	26557
606	83112	26426
607	83260	26292
608	83417	26162
609	83572	26030
610	83705	25892
611	83844	25756
612	83981	25619
613	84114	25481
614	84247	25342
615	84385	25206
616	84522	25069
617	84660	24932
618	84792	24793
619	84925	24655
620	85054	24516
621	85190	24379
622	85322	24240
623	85456	24103
624	85588	23964
625	85724	23827
626	85855	23688
627	85987	23550
628	86124	23413
629	86260	23276
630	86397	23139
631	86536	23003
632	86670	22865
633	86808	22728
634	86943	22591
635	87078	22454
636	87214	22317
637	87347	22179
638	87488	22043
639	87628	21907
640	87766	21770
641	87906	21634
642	88042	21497
643	88184	21361
644	88328	21226
645	88463	21088
646	88597	20951
647	88736	20814
648	88869	20676
649	89002	20539
650	89138	20402
651	89270	20263
652	89404	20126
653	89536	19988
654	89674	19851
655	89804	19713
656	89943	19576
657	90079	19439
658	90213	19302
659	90351	19165
660	90492	19029
661	90624	18891
662	90759	18754
663	90892	18616
664	91025	18478
665	91163	18342
666	91300	18205
667	91433	18067
668	91565	17929
669	91698	17792
670	91832	17654
